City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
288,Faanui,PF,80.2,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
298,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
300,Cabedelo,BR,80.6,few clouds,-6.98,-34.83,Lua Mansa Pousada
301,San Policarpo,PH,80.73,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
303,Barmer,IN,75.33,clear sky,25.75,71.38,OYO 71911 Hotel Amber Palace
313,Mindelo,CV,82.4,few clouds,16.89,-24.98,Hotel Gaudi
316,Temozon,MX,82.72,light rain,20.8,-88.22,Hotel temozon
320,Sechura,PE,75.2,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
323,Biltine,TD,79.81,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
330,Colon,PA,86.0,scattered clouds,9.36,-79.9,Sand Diamond Hotel
333,Thinadhoo,MV,82.92,clear sky,0.53,72.93,
343,Alappuzha,IN,78.69,overcast clouds,9.49,76.33,Panoramic Sea Resort
346,Hambantota,LK,78.64,overcast clouds,6.12,81.12,Bungalow 63
351,Tahta,EG,75.2,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
352,Khakhea,BW,82.02,light rain,-24.69,23.49,
355,Avera,US,80.01,scattered clouds,33.19,-82.53,
358,Parakou,BJ,75.85,few clouds,9.34,2.63,Benin Metropole Hotel
360,Grand-Santi,GF,88.14,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
364,Kyaiklat,MM,78.8,scattered clouds,16.43,95.73,Shwe Toe Aung
365,Kirakira,SB,82.17,light rain,-10.45,161.92,SanBiz Lodge
369,Destin,US,80.6,clear sky,30.39,-86.5,Inn On Destin Harbor
371,Santa Adelia,BR,79.25,light rain,-21.24,-48.8,Marri Hotel
375,Sorong,ID,78.49,broken clouds,-0.88,131.25,The Waigo Hotel
376,Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
380,Tagusao,PH,79.77,moderate rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
382,Humaita,BR,89.01,overcast clouds,-7.51,-63.02,Corrêa Hotel
384,Sao Jose Da Coroa Grande,BR,77.65,few clouds,-8.9,-35.15,Crôa Mares Hotel
389,Natal,BR,82.4,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
390,Kavieng,PG,82.49,moderate rain,-2.57,150.8,Nusa Island Retreat
396,Kampot,KH,75.2,scattered clouds,10.62,104.18,Champa Lodge
398,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
399,Ewa Beach,US,82.4,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
401,Maragogi,BR,77.18,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
404,Tonala,MX,90.0,few clouds,20.62,-103.23,HOTEL GUADALAJARA EXPRESS TONALA
406,Mogadishu,SO,80.06,light rain,2.04,45.34,Hotel Juba
411,Mayumba,GA,77.43,overcast clouds,-3.43,10.66,LIKWALE LODGE
412,Camopi,GF,87.8,moderate rain,3.17,-52.32,
413,Gat,IL,77.0,clear sky,31.61,34.76,OlusHome
414,Samana,DO,87.8,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
420,Kupang,ID,79.14,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
421,Tadine,NC,75.0,clear sky,-21.55,167.88,
422,Waw,SS,76.57,overcast clouds,7.7,28.0,Universal Gab Hotel
423,Omboue,GA,77.72,light rain,-1.57,9.26,Hotel Olako
431,Meulaboh,ID,75.92,moderate rain,4.14,96.13,Kost Pria
434,Batticaloa,LK,80.6,overcast clouds,7.71,81.69,Grand Star Guest House
437,Harper,LR,78.19,overcast clouds,4.38,-7.72,Screensaver
440,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
443,Azare,NG,82.53,scattered clouds,11.68,10.19,Criss Hotel
455,Saltpond,GH,77.97,light rain,5.21,-1.06,Mfantseman Beach Resort
456,Minatitlan,MX,86.0,broken clouds,17.98,-94.52,Grand Regency Express
